Model,Query,P@10,nDCG@10,MRR,Time
BM25,metro rail dhaka,0.4,1.0,1.0,0.5332822799682617
BM25,মেট্রোরেল ঢাকা,0.5,1.0,1.0,0.49002838134765625
BM25,dengue outbreak,1.0,1.0,1.0,0.09836149215698242
BM25,ডেঙ্গু প্রকোপ,0.7,0.9950883841893561,1.0,0.09597253799438477
BM25,national election 2024,0.9,1.0,1.0,0.15181875228881836
BM25,জাতীয় নির্বাচন ২০২৪,1.0,1.0,1.0,0.13357019424438477
Semantic,metro rail dhaka,0.2,0.36331756126716835,0.3333333333333333,0.3826901912689209
Semantic,মেট্রোরেল ঢাকা,0.1,0.3391602052736161,1.0,0.06774425506591797
Semantic,dengue outbreak,0.5,0.4112501797536799,0.3333333333333333,0.03827166557312012
Semantic,ডেঙ্গু প্রকোপ,0.5,0.8104616303452685,1.0,0.0338742733001709
Semantic,national election 2024,0.3,0.24613298421845534,0.25,0.039865970611572266
Semantic,জাতীয় নির্বাচন ২০২৪,0.2,0.13698471029831175,0.14285714285714285,0.03566312789916992
